Dialogue_Act,Utterance
DELIBERATE,<ähm> im Juli
SUGGEST,wie wäre es denn im Juli
FEEDBACK_NEGATIVE,da schaut es bei mir ja ganz schön dicht aus
SUGGEST,höchstens noch am neunten zehnten hätte ich da Zeit
BACKCHANNEL,mhm
SUGGEST,wie wäre es denn im Juli
FEEDBACK_NEGATIVE,da schaut es bei mir ja ganz schön dicht aus
SUGGEST,höchstens noch am neunten zehnten hätte ich da Zeit
BACKCHANNEL,mhm
ACCEPT,ja wunderbar da geht es bei mir auch
FEEDBACK_NEGATIVE,da schaut es bei mir ja ganz schön dicht aus
SUGGEST,höchstens noch am neunten zehnten hätte ich da Zeit
BACKCHANNEL,mhm
ACCEPT,ja wunderbar da geht es bei mir auch
FEEDBACK_POSITIVE,ja ah super
SUGGEST,höchstens noch am neunten zehnten hätte ich da Zeit
BACKCHANNEL,mhm
ACCEPT,ja wunderbar da geht es bei mir auch
FEEDBACK_POSITIVE,ja ah super
FEEDBACK_POSITIVE,ganz toll
BACKCHANNEL,mhm
ACCEPT,ja wunderbar da geht es bei mir auch
FEEDBACK_POSITIVE,ja ah super
FEEDBACK_POSITIVE,ganz toll
CLOSE,dann nehmen wir doch gleich das oder
ACCEPT,ja wunderbar da geht es bei mir auch
FEEDBACK_POSITIVE,ja ah super
FEEDBACK_POSITIVE,ganz toll
CLOSE,dann nehmen wir doch gleich das oder
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,ja ah super
FEEDBACK_POSITIVE,ganz toll
CLOSE,dann nehmen wir doch gleich das oder
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ganz toll
CLOSE,dann nehmen wir doch gleich das oder
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
INIT,okay <ähm> ja wie wie fahren wir
CLOSE,dann nehmen wir doch gleich das oder
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
INIT,okay <ähm> ja wie wie fahren wir
DELIBERATE,Flugzeug Zug oder
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
INIT,okay <ähm> ja wie wie fahren wir
DELIBERATE,Flugzeug Zug oder
SUGGEST,ja fliegen wir genau
BACKCHANNEL,mhm
INIT,okay <ähm> ja wie wie fahren wir
DELIBERATE,Flugzeug Zug oder
SUGGEST,ja fliegen wir genau
NOT_CLASSIFIABLE,okay und <ähm>
INIT,okay <ähm> ja wie wie fahren wir
DELIBERATE,Flugzeug Zug oder
SUGGEST,ja fliegen wir genau
NOT_CLASSIFIABLE,okay und <ähm>
ACCEPT,ja Flug
DELIBERATE,Flugzeug Zug oder
SUGGEST,ja fliegen wir genau
NOT_CLASSIFIABLE,okay und <ähm>
ACCEPT,ja Flug
INFORM,Flug ist immer besser mhm
SUGGEST,ja fliegen wir genau
NOT_CLASSIFIABLE,okay und <ähm>
ACCEPT,ja Flug
INFORM,Flug ist immer besser mhm
INFORM,<hm> ja also die bei mir steht <%> die Flüge gehen tagsüber stündlich ab sieben Uhr fünfzehn
NOT_CLASSIFIABLE,okay und <ähm>
ACCEPT,ja Flug
INFORM,Flug ist immer besser mhm
INFORM,<hm> ja also die bei mir steht <%> die Flüge gehen tagsüber stündlich ab sieben Uhr fünfzehn
EXCLUDE,<ähm> mir wäre es recht wenn wir nicht so früh fahren würden
ACCEPT,ja Flug
INFORM,Flug ist immer besser mhm
INFORM,<hm> ja also die bei mir steht <%> die Flüge gehen tagsüber stündlich ab sieben Uhr fünfzehn
EXCLUDE,<ähm> mir wäre es recht wenn wir nicht so früh fahren würden
GIVE_REASON,weil ich muß noch zum Flughafen länger hin
INFORM,Flug ist immer besser mhm
INFORM,<hm> ja also die bei mir steht <%> die Flüge gehen tagsüber stündlich ab sieben Uhr fünfzehn
EXCLUDE,<ähm> mir wäre es recht wenn wir nicht so früh fahren würden
GIVE_REASON,weil ich muß noch zum Flughafen länger hin
GIVE_REASON,sonst ist es ganz so arg früh
INFORM,<hm> ja also die bei mir steht <%> die Flüge gehen tagsüber stündlich ab sieben Uhr fünfzehn
EXCLUDE,<ähm> mir wäre es recht wenn wir nicht so früh fahren würden
GIVE_REASON,weil ich muß noch zum Flughafen länger hin
GIVE_REASON,sonst ist es ganz so arg früh
SUGGEST,also wenn wir den um acht Uhr fünfzehn nehmen würden
EXCLUDE,<ähm> mir wäre es recht wenn wir nicht so früh fahren würden
GIVE_REASON,weil ich muß noch zum Flughafen länger hin
GIVE_REASON,sonst ist es ganz so arg früh
SUGGEST,also wenn wir den um acht Uhr fünfzehn nehmen würden
REQUEST_COMMENT,wäre das recht
GIVE_REASON,weil ich muß noch zum Flughafen länger hin
GIVE_REASON,sonst ist es ganz so arg früh
SUGGEST,also wenn wir den um acht Uhr fünfzehn nehmen würden
REQUEST_COMMENT,wäre das recht
BACKCHANNEL,mhm
GIVE_REASON,sonst ist es ganz so arg früh
SUGGEST,also wenn wir den um acht Uhr fünfzehn nehmen würden
REQUEST_COMMENT,wäre das recht
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
SUGGEST,also wenn wir den um acht Uhr fünfzehn nehmen würden
REQUEST_COMMENT,wäre das recht
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
REQUEST_COMMENT,wäre das recht
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
ACCEPT,ja klar freilich
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
ACCEPT,ja klar freilich
FEEDBACK_POSITIVE,also kein Problem
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
ACCEPT,ja klar freilich
FEEDBACK_POSITIVE,also kein Problem
INFORM,und dann <ähm> fl <äh> fliegen wir am Freitag zurück
BACKCHANNEL,mhm
ACCEPT,ja klar freilich
FEEDBACK_POSITIVE,also kein Problem
INFORM,und dann <ähm> fl <äh> fliegen wir am Freitag zurück
DELIBERATE,ja <häs> weiß nicht
ACCEPT,ja klar freilich
FEEDBACK_POSITIVE,also kein Problem
INFORM,und dann <ähm> fl <äh> fliegen wir am Freitag zurück
DELIBERATE,ja <häs> weiß nicht
INIT,vielleicht können wir ja auch noch irgendwas machen
FEEDBACK_POSITIVE,also kein Problem
INFORM,und dann <ähm> fl <äh> fliegen wir am Freitag zurück
DELIBERATE,ja <häs> weiß nicht
INIT,vielleicht können wir ja auch noch irgendwas machen
SUGGEST,dann in Hannover dann kann man auch bißchen später zurück so gegen Abend oder
INFORM,und dann <ähm> fl <äh> fliegen wir am Freitag zurück
DELIBERATE,ja <häs> weiß nicht
INIT,vielleicht können wir ja auch noch irgendwas machen
SUGGEST,dann in Hannover dann kann man auch bißchen später zurück so gegen Abend oder
REQUEST_COMMENT,wie wäre das
DELIBERATE,ja <häs> weiß nicht
INIT,vielleicht können wir ja auch noch irgendwas machen
SUGGEST,dann in Hannover dann kann man auch bißchen später zurück so gegen Abend oder
REQUEST_COMMENT,wie wäre das
BACKCHANNEL,mhm
INIT,vielleicht können wir ja auch noch irgendwas machen
SUGGEST,dann in Hannover dann kann man auch bißchen später zurück so gegen Abend oder
REQUEST_COMMENT,wie wäre das
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,können wir am
SUGGEST,dann in Hannover dann kann man auch bißchen später zurück so gegen Abend oder
REQUEST_COMMENT,wie wäre das
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,können wir am
BACKCHANNEL,mhm
REQUEST_COMMENT,wie wäre das
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,können wir am
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,können wir am
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,können wir am
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
INFORM,gut ja die gehen ja eh dann wieder stündlich ab sechs
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
INFORM,gut ja die gehen ja eh dann wieder stündlich ab sechs
ACCEPT,okay
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
INFORM,gut ja die gehen ja eh dann wieder stündlich ab sechs
ACCEPT,okay
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
INFORM,gut ja die gehen ja eh dann wieder stündlich ab sechs
ACCEPT,okay
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,genau
INFORM,gut ja die gehen ja eh dann wieder stündlich ab sechs
ACCEPT,okay
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,genau
INFORM,ja bis bis halb zehn da geht dann der letzte
ACCEPT,okay
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,genau
INFORM,ja bis bis halb zehn da geht dann der letzte
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,genau
INFORM,ja bis bis halb zehn da geht dann der letzte
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja wunderbar
DEFER,und dann kontaktieren wir einfach noch mal okay
ACCEPT,ja wunderbar
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,alles klar
ACCEPT,ja wunderbar
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,alles klar
THANK,gut vielen Dank
FEEDBACK_POSITIVE,gut
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,alles klar
THANK,gut vielen Dank
BYE,Wiederschauen
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,alles klar
THANK,gut vielen Dank
BYE,Wiederschauen
FEEDBACK,also
FEEDBACK_POSITIVE,alles klar
THANK,gut vielen Dank
BYE,Wiederschauen
FEEDBACK,also
THANK,bitte
THANK,gut vielen Dank
BYE,Wiederschauen
FEEDBACK,also
THANK,bitte
BYE,Wiederschauen
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
REQUEST_SUGGEST,zu welchem Termin möchten Sie denn nach Hannover reisen
SUGGEST,also es sollte irgendwann zwischen Januar und März sein
REQUEST,ja im kommenden Jahr
BACKCHANNEL,mhm
REQUEST_SUGGEST,zu welchem Termin möchten Sie denn nach Hannover reisen
SUGGEST,also es sollte irgendwann zwischen Januar und März sein
REQUEST,ja im kommenden Jahr
SUGGEST,im kommenden Jahr wirklich ja
REQUEST_SUGGEST,zu welchem Termin möchten Sie denn nach Hannover reisen
SUGGEST,also es sollte irgendwann zwischen Januar und März sein
REQUEST,ja im kommenden Jahr
SUGGEST,im kommenden Jahr wirklich ja
SUGGEST,und zwar wäre mir günstig die erste Januarwoche wenn das machbar wäre
SUGGEST,also es sollte irgendwann zwischen Januar und März sein
REQUEST,ja im kommenden Jahr
SUGGEST,im kommenden Jahr wirklich ja
SUGGEST,und zwar wäre mir günstig die erste Januarwoche wenn das machbar wäre
DELIBERATE,die mhm die erste Januarwoche
REQUEST,ja im kommenden Jahr
SUGGEST,im kommenden Jahr wirklich ja
SUGGEST,und zwar wäre mir günstig die erste Januarwoche wenn das machbar wäre
DELIBERATE,die mhm die erste Januarwoche
SUGGEST,also der ab ab vierten Januar
SUGGEST,im kommenden Jahr wirklich ja
SUGGEST,und zwar wäre mir günstig die erste Januarwoche wenn das machbar wäre
DELIBERATE,die mhm die erste Januarwoche
SUGGEST,also der ab ab vierten Januar
REQUEST_CLARIFY,sehe ich das richtig ab Montag den vierten
SUGGEST,und zwar wäre mir günstig die erste Januarwoche wenn das machbar wäre
DELIBERATE,die mhm die erste Januarwoche
SUGGEST,also der ab ab vierten Januar
REQUEST_CLARIFY,sehe ich das richtig ab Montag den vierten
FEEDBACK_POSITIVE,richtig richtig
ACCEPT,ja <ähm> Montag vierter Januar bis Donnerstag siebter Januar halte ich mal fest
FEEDBACK_POSITIVE,gut
INIT,<ähm> wie möchten Sie denn nach Hannover reisen mit dem Zug oder mit dem Flugzeug
NOT_CLASSIFIABLE,haben Sie sich da schon <%>
REQUEST,wie sieht es denn da mit den Reisezeiten aus und mit den Preisen
FEEDBACK_POSITIVE,gut
INIT,<ähm> wie möchten Sie denn nach Hannover reisen mit dem Zug oder mit dem Flugzeug
NOT_CLASSIFIABLE,haben Sie sich da schon <%>
REQUEST,wie sieht es denn da mit den Reisezeiten aus und mit den Preisen
INFORM,<ähm> Zugverbindungen von Bonn nach Hannover sind sehr gut
INIT,<ähm> wie möchten Sie denn nach Hannover reisen mit dem Zug oder mit dem Flugzeug
NOT_CLASSIFIABLE,haben Sie sich da schon <%>
REQUEST,wie sieht es denn da mit den Reisezeiten aus und mit den Preisen
INFORM,<ähm> Zugverbindungen von Bonn nach Hannover sind sehr gut
INFORM,da gibt es stündlich ab sechs Uhr fünfundvierzig morgens Züge nach Hannover
NOT_CLASSIFIABLE,haben Sie sich da schon <%>
REQUEST,wie sieht es denn da mit den Reisezeiten aus und mit den Preisen
INFORM,<ähm> Zugverbindungen von Bonn nach Hannover sind sehr gut
INFORM,da gibt es stündlich ab sechs Uhr fünfundvierzig morgens Züge nach Hannover
INFORM,Reisedauer <häs> beträgt drei Stunden zwanzig Minuten
EXCLUDE,ja aber morgens sieben Uhr zehn ist mir etwas zu früh
REQUEST_SUGGEST,f spätere Flüge gibt es dann keine mehr
FEEDBACK_NEGATIVE,habe ich zur Zeit leider nicht vorliegen
SUGGEST,dann würde ich sagen nehmen wir den Zug
REQUEST_CLARIFY,sagten ab kurz vor sieben
REQUEST_SUGGEST,f spätere Flüge gibt es dann keine mehr
FEEDBACK_NEGATIVE,habe ich zur Zeit leider nicht vorliegen
SUGGEST,dann würde ich sagen nehmen wir den Zug
REQUEST_CLARIFY,sagten ab kurz vor sieben
CLARIFY,ab sechs Uhr fünfundvierzig fahren die Züge stündlich
FEEDBACK_NEGATIVE,habe ich zur Zeit leider nicht vorliegen
SUGGEST,dann würde ich sagen nehmen wir den Zug
REQUEST_CLARIFY,sagten ab kurz vor sieben
CLARIFY,ab sechs Uhr fünfundvierzig fahren die Züge stündlich
SUGGEST,dann würde ich sagen um acht oder neun Uhr was in der Richtung
SUGGEST,dann würde ich sagen nehmen wir den Zug
REQUEST_CLARIFY,sagten ab kurz vor sieben
CLARIFY,ab sechs Uhr fünfundvierzig fahren die Züge stündlich
SUGGEST,dann würde ich sagen um acht oder neun Uhr was in der Richtung
ACCEPT,mhm dann halte ich mal fest acht Uhr fünfundvierzig ab Bonn Hauptbahnhof
REQUEST_CLARIFY,sagten ab kurz vor sieben
CLARIFY,ab sechs Uhr fünfundvierzig fahren die Züge stündlich
SUGGEST,dann würde ich sagen um acht oder neun Uhr was in der Richtung
ACCEPT,mhm dann halte ich mal fest acht Uhr fünfundvierzig ab Bonn Hauptbahnhof
INFORM,dann fahren Sie mit dem $I-$C nach Hannover
CLARIFY,ab sechs Uhr fünfundvierzig fahren die Züge stündlich
SUGGEST,dann würde ich sagen um acht oder neun Uhr was in der Richtung
ACCEPT,mhm dann halte ich mal fest acht Uhr fünfundvierzig ab Bonn Hauptbahnhof
INFORM,dann fahren Sie mit dem $I-$C nach Hannover
FEEDBACK_POSITIVE,ja das ist sehr gut
SUGGEST,dann würde ich sagen um acht oder neun Uhr was in der Richtung
ACCEPT,mhm dann halte ich mal fest acht Uhr fünfundvierzig ab Bonn Hauptbahnhof
INFORM,dann fahren Sie mit dem $I-$C nach Hannover
FEEDBACK_POSITIVE,ja das ist sehr gut
FEEDBACK_POSITIVE,gut
ACCEPT,mhm dann halte ich mal fest acht Uhr fünfundvierzig ab Bonn Hauptbahnhof
INFORM,dann fahren Sie mit dem $I-$C nach Hannover
FEEDBACK_POSITIVE,ja das ist sehr gut
FEEDBACK_POSITIVE,gut
INFORM,d <ähm> Fahrkosten liegen dann hier bei vierundneunzig $D-Mark
INFORM,dann fahren Sie mit dem $I-$C nach Hannover
FEEDBACK_POSITIVE,ja das ist sehr gut
FEEDBACK_POSITIVE,gut
INFORM,d <ähm> Fahrkosten liegen dann hier bei vierundneunzig $D-Mark
INFORM,hinzu kommen allerdings noch sieben Mark $I-$C-Zuschlag
FEEDBACK_POSITIVE,ja das ist sehr gut
FEEDBACK_POSITIVE,gut
INFORM,d <ähm> Fahrkosten liegen dann hier bei vierundneunzig $D-Mark
INFORM,hinzu kommen allerdings noch sieben Mark $I-$C-Zuschlag
DELIBERATE,das hält sich ja in Grenzen
FEEDBACK_POSITIVE,gut
INFORM,d <ähm> Fahrkosten liegen dann hier bei vierundneunzig $D-Mark
INFORM,hinzu kommen allerdings noch sieben Mark $I-$C-Zuschlag
DELIBERATE,das hält sich ja in Grenzen
INIT,wie sieht es denn mit den Hotels in Hannover aus
INFORM,Preiskategorie hier aber hundert fünfundneunzig bis fünfhundert siebzehn $D-Mark
EXCLUDE,also ich denke das zweite ist mir zu teuer
GIVE_REASON,abgesehen davon ist es mir zu weit vom Ortskern weg
GIVE_REASON,wenn ich mit Bahn anfahre muß ich vernünftige Verbindungen haben
SUGGEST,ich könnte Ihnen auch noch das Hotel Thüringer-Hof bieten
EXCLUDE,also ich denke das zweite ist mir zu teuer
GIVE_REASON,abgesehen davon ist es mir zu weit vom Ortskern weg
GIVE_REASON,wenn ich mit Bahn anfahre muß ich vernünftige Verbindungen haben
SUGGEST,ich könnte Ihnen auch noch das Hotel Thüringer-Hof bieten
INFORM,das zentral liegt in der Preiskategorie von einhundert fünfundvierzig bis zweihundert $D-Mark
GIVE_REASON,abgesehen davon ist es mir zu weit vom Ortskern weg
GIVE_REASON,wenn ich mit Bahn anfahre muß ich vernünftige Verbindungen haben
SUGGEST,ich könnte Ihnen auch noch das Hotel Thüringer-Hof bieten
INFORM,das zentral liegt in der Preiskategorie von einhundert fünfundvierzig bis zweihundert $D-Mark
ACCEPT,das hört sich doch vernünftig an
GIVE_REASON,wenn ich mit Bahn anfahre muß ich vernünftige Verbindungen haben
SUGGEST,ich könnte Ihnen auch noch das Hotel Thüringer-Hof bieten
INFORM,das zentral liegt in der Preiskategorie von einhundert fünfundvierzig bis zweihundert $D-Mark
ACCEPT,das hört sich doch vernünftig an
CLOSE,ja gut nehmen wir das
SUGGEST,ich könnte Ihnen auch noch das Hotel Thüringer-Hof bieten
INFORM,das zentral liegt in der Preiskategorie von einhundert fünfundvierzig bis zweihundert $D-Mark
ACCEPT,das hört sich doch vernünftig an
CLOSE,ja gut nehmen wir das
COMMIT,sollten wir <%> also das dann buche ich für Sie ein Einzelzimmer im Hotel Thüringer-Hof
INFORM,das zentral liegt in der Preiskategorie von einhundert fünfundvierzig bis zweihundert $D-Mark
ACCEPT,das hört sich doch vernünftig an
CLOSE,ja gut nehmen wir das
COMMIT,sollten wir <%> also das dann buche ich für Sie ein Einzelzimmer im Hotel Thüringer-Hof
ACCEPT,richtig
ACCEPT,das hört sich doch vernünftig an
CLOSE,ja gut nehmen wir das
COMMIT,sollten wir <%> also das dann buche ich für Sie ein Einzelzimmer im Hotel Thüringer-Hof
ACCEPT,richtig
INFORM,in der sagen wir mittleren Bereich was die Preisklasse angeht
CLOSE,ja gut nehmen wir das
COMMIT,sollten wir <%> also das dann buche ich für Sie ein Einzelzimmer im Hotel Thüringer-Hof
ACCEPT,richtig
INFORM,in der sagen wir mittleren Bereich was die Preisklasse angeht
FEEDBACK_POSITIVE,ja
COMMIT,sollten wir <%> also das dann buche ich für Sie ein Einzelzimmer im Hotel Thüringer-Hof
ACCEPT,richtig
INFORM,in der sagen wir mittleren Bereich was die Preisklasse angeht
FEEDBACK_POSITIVE,ja
SUGGEST,mit Frühstück
ACCEPT,richtig
INFORM,in der sagen wir mittleren Bereich was die Preisklasse angeht
FEEDBACK_POSITIVE,ja
SUGGEST,mit Frühstück
ACCEPT,mit Frühstück ja
INFORM,in der sagen wir mittleren Bereich was die Preisklasse angeht
FEEDBACK_POSITIVE,ja
SUGGEST,mit Frühstück
ACCEPT,mit Frühstück ja
DELIBERATE,mit Frühstück
FEEDBACK_POSITIVE,ja
SUGGEST,mit Frühstück
ACCEPT,mit Frühstück ja
DELIBERATE,mit Frühstück
CLOSE,dann verbleiben wir so
SUGGEST,mit Frühstück
ACCEPT,mit Frühstück ja
DELIBERATE,mit Frühstück
CLOSE,dann verbleiben wir so
DEFER,gut ich melde mich dann noch mal bei Ihnen
ACCEPT,mit Frühstück ja
DELIBERATE,mit Frühstück
CLOSE,dann verbleiben wir so
DEFER,gut ich melde mich dann noch mal bei Ihnen
BYE,Wiederhören
DELIBERATE,mit Frühstück
CLOSE,dann verbleiben wir so
DEFER,gut ich melde mich dann noch mal bei Ihnen
BYE,Wiederhören
FEEDBACK_POSITIVE,alles klar
CLOSE,dann verbleiben wir so
DEFER,gut ich melde mich dann noch mal bei Ihnen
BYE,Wiederhören
FEEDBACK_POSITIVE,alles klar
THANK,gut vielen Dank
INTRODUCE,Berg hier
INIT,ich rufe an wegen einer Geschäftsreise nach Hannover im letzten Quartal des Jahres achtundneunzig
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
SUGGEST,da würde es mir im Dezember gut passen
INIT,ich rufe an wegen einer Geschäftsreise nach Hannover im letzten Quartal des Jahres achtundneunzig
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
SUGGEST,da würde es mir im Dezember gut passen
ACCEPT,ja das ginge bei mir auch
FEEDBACK_POSITIVE,ja
BACKCHANNEL,mhm
SUGGEST,da würde es mir im Dezember gut passen
ACCEPT,ja das ginge bei mir auch
SUGGEST,wobei ich die ersten beiden Dezemberwochen bevorzugen würde
BACKCHANNEL,mhm
SUGGEST,da würde es mir im Dezember gut passen
ACCEPT,ja das ginge bei mir auch
SUGGEST,wobei ich die ersten beiden Dezemberwochen bevorzugen würde
ACCEPT,ja ich auch
SUGGEST,da würde es mir im Dezember gut passen
ACCEPT,ja das ginge bei mir auch
SUGGEST,wobei ich die ersten beiden Dezemberwochen bevorzugen würde
ACCEPT,ja ich auch
SUGGEST,also dann nehmen wir direkt die erste Dezemberwoche
ACCEPT,ja das ginge bei mir auch
SUGGEST,wobei ich die ersten beiden Dezemberwochen bevorzugen würde
ACCEPT,ja ich auch
SUGGEST,also dann nehmen wir direkt die erste Dezemberwoche
SUGGEST,würden wir sagen vom ersten bis zum vierten Dezember
SUGGEST,wobei ich die ersten beiden Dezemberwochen bevorzugen würde
ACCEPT,ja ich auch
SUGGEST,also dann nehmen wir direkt die erste Dezemberwoche
SUGGEST,würden wir sagen vom ersten bis zum vierten Dezember
NOT_CLASSIFIABLE,von
ACCEPT,ja ich auch
SUGGEST,also dann nehmen wir direkt die erste Dezemberwoche
SUGGEST,würden wir sagen vom ersten bis zum vierten Dezember
NOT_CLASSIFIABLE,von
BACKCHANNEL,ja mhm
SUGGEST,also dann nehmen wir direkt die erste Dezemberwoche
SUGGEST,würden wir sagen vom ersten bis zum vierten Dezember
NOT_CLASSIFIABLE,von
BACKCHANNEL,ja mhm
ACCEPT,das paßt mir sehr gut
SUGGEST,würden wir sagen vom ersten bis zum vierten Dezember
NOT_CLASSIFIABLE,von
BACKCHANNEL,ja mhm
ACCEPT,das paßt mir sehr gut
FEEDBACK_POSITIVE,prima
NOT_CLASSIFIABLE,von
BACKCHANNEL,ja mhm
ACCEPT,das paßt mir sehr gut
FEEDBACK_POSITIVE,prima
INIT,wie möchten Sie gerne hinkommen
BACKCHANNEL,ja mhm
ACCEPT,das paßt mir sehr gut
FEEDBACK_POSITIVE,prima
INIT,wie möchten Sie gerne hinkommen
SUGGEST,mit dem Zug oder mit dem Flieger
ACCEPT,das paßt mir sehr gut
FEEDBACK_POSITIVE,prima
INIT,wie möchten Sie gerne hinkommen
SUGGEST,mit dem Zug oder mit dem Flieger
ACCEPT,<ähm> mir persönlich wäre das Flugzeug lieber
FEEDBACK_POSITIVE,prima
INIT,wie möchten Sie gerne hinkommen
SUGGEST,mit dem Zug oder mit dem Flieger
ACCEPT,<ähm> mir persönlich wäre das Flugzeug lieber
SUGGEST,ja dann könnten wir Dienstag morgen um sieben Uhr zehn starten
INIT,wie möchten Sie gerne hinkommen
SUGGEST,mit dem Zug oder mit dem Flieger
ACCEPT,<ähm> mir persönlich wäre das Flugzeug lieber
SUGGEST,ja dann könnten wir Dienstag morgen um sieben Uhr zehn starten
ACCEPT,ja gerne
DEFER,das können wir ja dann noch gucken vielleicht
GIVE_REASON,ja je nachdem wie die lange die Messe dauert
DEFER,daß wir dann halt danach den Abflugtermin bestimmen
FEEDBACK_POSITIVE,genau
FEEDBACK_POSITIVE,ja
GIVE_REASON,ja je nachdem wie die lange die Messe dauert
DEFER,daß wir dann halt danach den Abflugtermin bestimmen
FEEDBACK_POSITIVE,genau
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja prima
DEFER,daß wir dann halt danach den Abflugtermin bestimmen
FEEDBACK_POSITIVE,genau
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja prima
COMMIT,dann werde ich <ähm> zwei Einzelzimmer buchen
FEEDBACK_POSITIVE,genau
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja prima
COMMIT,dann werde ich <ähm> zwei Einzelzimmer buchen
INFORM,zur Auswahl stehen drei Hotels
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja prima
COMMIT,dann werde ich <ähm> zwei Einzelzimmer buchen
INFORM,zur Auswahl stehen drei Hotels
SUGGEST,einmal das Maritim-Grand-Hotel
SUGGEST,und das Hotel Vahrenwald
INFORM,am Flughafen mit Garage und Konferenzraum
ACCEPT,das zweite hörte sich eigentlich in Ordnung an
FEEDBACK_POSITIVE,ja
EXPLAINED_REJECT,obwohl das bietet nicht so sehr viele Alternativen
INFORM,am Flughafen mit Garage und Konferenzraum
ACCEPT,das zweite hörte sich eigentlich in Ordnung an
FEEDBACK_POSITIVE,ja
EXPLAINED_REJECT,obwohl das bietet nicht so sehr viele Alternativen
SUGGEST,also ich wäre dann doch schon für das Maritim-Grand-Hotel
ACCEPT,das zweite hörte sich eigentlich in Ordnung an
FEEDBACK_POSITIVE,ja
EXPLAINED_REJECT,obwohl das bietet nicht so sehr viele Alternativen
SUGGEST,also ich wäre dann doch schon für das Maritim-Grand-Hotel
GIVE_REASON,wegen der zentralen Lage und Konferenzraum Restaurant und dergleichen
FEEDBACK_POSITIVE,ja
EXPLAINED_REJECT,obwohl das bietet nicht so sehr viele Alternativen
SUGGEST,also ich wäre dann doch schon für das Maritim-Grand-Hotel
GIVE_REASON,wegen der zentralen Lage und Konferenzraum Restaurant und dergleichen
ACCEPT,ist mir auch recht
EXPLAINED_REJECT,obwohl das bietet nicht so sehr viele Alternativen
SUGGEST,also ich wäre dann doch schon für das Maritim-Grand-Hotel
GIVE_REASON,wegen der zentralen Lage und Konferenzraum Restaurant und dergleichen
ACCEPT,ist mir auch recht
ACCEPT,ist in Ordnung ja
SUGGEST,also ich wäre dann doch schon für das Maritim-Grand-Hotel
GIVE_REASON,wegen der zentralen Lage und Konferenzraum Restaurant und dergleichen
ACCEPT,ist mir auch recht
ACCEPT,ist in Ordnung ja
REQUEST_CLARIFY,ja
GIVE_REASON,wegen der zentralen Lage und Konferenzraum Restaurant und dergleichen
ACCEPT,ist mir auch recht
ACCEPT,ist in Ordnung ja
REQUEST_CLARIFY,ja
BACKCHANNEL,mhm
ACCEPT,ist mir auch recht
ACCEPT,ist in Ordnung ja
REQUEST_CLARIFY,ja
BACKCHANNEL,mhm
COMMIT,gut dann werde ich da also die Buchung vornehmen
ACCEPT,ist in Ordnung ja
REQUEST_CLARIFY,ja
BACKCHANNEL,mhm
COMMIT,gut dann werde ich da also die Buchung vornehmen
INIT,und <ähm> was möchten Sie gerne abends unternehmen
REQUEST_CLARIFY,ja
BACKCHANNEL,mhm
